pos	5pG>A
1	0.159090909090909
2	0.171875
3	0.0996677740863787
4	0.14802065404475
5	0.0774410774410774
6	0.0866013071895425
7	0.0783333333333333
8	0.0566343042071197
9	0.0616883116883117
10	0.0481099656357388
11	0.0418604651162791
12	0.0472972972972973
13	0.0377358490566038
14	0.053448275862069
15	0.0356536502546689
16	0.0401396160558464
17	0.0567986230636833
18	0.0447761194029851
19	0.0352941176470588
20	0.0337477797513321
21	0.0402576489533011
22	0.0318257956448911
23	0.0247524752475248
24	0.0354838709677419
25	0.037156704361874
