# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-43/bam/J-43.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	1
+	30	64
+	31	64
+	32	60
+	33	69
+	34	79
+	35	62
+	36	68
+	37	98
+	38	128
+	39	102
+	40	117
+	41	105
+	42	125
+	43	131
+	44	133
+	45	142
+	46	148
+	47	153
+	48	151
+	49	188
+	50	180
+	51	159
+	52	168
+	53	196
+	54	176
+	55	205
+	56	193
+	57	237
+	58	247
+	59	246
+	60	218
+	61	215
+	62	211
+	63	226
+	64	183
+	65	43
+	66	126
+	67	355
+	68	933
+	69	2666
+	70	4893
+	71	35
+	72	8
-	29	1
-	30	51
-	31	65
-	32	68
-	33	61
-	34	68
-	35	77
-	36	75
-	37	86
-	38	114
-	39	90
-	40	107
-	41	116
-	42	117
-	43	121
-	44	125
-	45	142
-	46	129
-	47	164
-	48	191
-	49	193
-	50	152
-	51	166
-	52	183
-	53	174
-	54	224
-	55	175
-	56	209
-	57	201
-	58	246
-	59	235
-	60	238
-	61	243
-	62	211
-	63	231
-	64	228
-	65	51
-	66	144
-	67	345
-	68	973
-	69	2781
-	70	5016
-	71	37
-	72	2
-	73	1
