pos	5pG>A
1	0.0675355184916016
2	0.0486202927049713
3	0.0394040635602115
4	0.033789881347427
5	0.0291240613238589
6	0.0258636528852337
7	0.0231873193730704
8	0.0210499740577806
9	0.0193897430366809
10	0.0182303298849959
11	0.0173502032162565
12	0.0165681561561324
13	0.0160070188349288
14	0.0157368280608404
15	0.0154413546664645
16	0.015121106369918
17	0.0150329268050057
18	0.0147302420096088
19	0.0145134642076937
20	0.0144364647515404
21	0.0142126613670643
22	0.0138480998955579
23	0.0140394572460091
24	0.0136831240804218
25	0.0134815845721942
