# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/JDS3_01/J-58/bam/J-58.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	7
+	29	49
+	30	28779
+	31	30589
+	32	32366
+	33	33901
+	34	34865
+	35	36321
+	36	38084
+	37	40488
+	38	42591
+	39	45161
+	40	47193
+	41	48398
+	42	50007
+	43	51198
+	44	52378
+	45	52833
+	46	53495
+	47	54598
+	48	55137
+	49	56036
+	50	56725
+	51	56969
+	52	56564
+	53	54949
+	54	54807
+	55	52567
+	56	51570
+	57	51264
+	58	50731
+	59	48407
+	60	47328
+	61	43067
+	62	41233
+	63	38881
+	64	35174
+	65	1393
+	66	3495
+	67	10866
+	68	33072
+	69	135883
+	70	254102
+	71	1337
+	72	247
+	73	50
+	74	24
-	28	3
-	29	27
-	30	28524
-	31	30856
-	32	32544
-	33	33785
-	34	34941
-	35	36359
-	36	37585
-	37	40167
-	38	42960
-	39	45256
-	40	46761
-	41	48638
-	42	50100
-	43	50964
-	44	52213
-	45	52739
-	46	53904
-	47	54896
-	48	55382
-	49	56539
-	50	56714
-	51	56604
-	52	55855
-	53	55374
-	54	54265
-	55	52946
-	56	51597
-	57	51234
-	58	50985
-	59	48536
-	60	46873
-	61	43425
-	62	41471
-	63	38873
-	64	35226
-	65	1397
-	66	3579
-	67	10847
-	68	33054
-	69	136356
-	70	254864
-	71	1323
-	72	260
-	73	46
-	74	29
