# table produced by mapDamage version 2.0.3
# using mapped file /ebc_data/cls83/Johns/J-69/bam/J-69.FINAL.hg19.dedup.RG.bam and /ebc_data/cls83/indexes/hs.build37.1.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	28	2
+	29	20
+	30	9485
+	31	10268
+	32	10716
+	33	10415
+	34	10051
+	35	10068
+	36	9915
+	37	10498
+	38	10802
+	39	11432
+	40	11940
+	41	12776
+	42	12947
+	43	13454
+	44	13398
+	45	13530
+	46	13541
+	47	13967
+	48	14512
+	49	15345
+	50	16152
+	51	17036
+	52	17933
+	53	18202
+	54	18304
+	55	18697
+	56	18697
+	57	19298
+	58	19990
+	59	20148
+	60	21142
+	61	21806
+	62	23020
+	63	24950
+	64	26681
+	65	28305
+	66	40511
+	67	74463
+	68	159533
+	69	383472
+	70	395416
+	71	2499
+	72	413
+	73	93
+	74	31
-	28	3
-	29	25
-	30	9605
-	31	10257
-	32	10514
-	33	10452
-	34	9977
-	35	10183
-	36	10102
-	37	10447
-	38	10739
-	39	11311
-	40	12102
-	41	12535
-	42	13319
-	43	13180
-	44	13464
-	45	13215
-	46	13497
-	47	13926
-	48	14661
-	49	15484
-	50	16232
-	51	17120
-	52	18019
-	53	18424
-	54	18033
-	55	18586
-	56	18753
-	57	19701
-	58	20099
-	59	20048
-	60	21357
-	61	21528
-	62	23002
-	63	24438
-	64	26223
-	65	28365
-	66	40676
-	67	74800
-	68	159934
-	69	383673
-	70	394461
-	71	2393
-	72	418
-	73	104
-	74	41
