pos	5pC>T
1	0.0965853658536585
2	0.0619469026548673
3	0.0613026819923372
4	0.0510396975425331
5	0.0325278810408922
6	0.0308529945553539
7	0.0270522388059701
8	0.0252707581227437
9	0.0240427426536064
10	0.0194862710363153
11	0.0214477211796247
12	0.0232974910394265
13	0.0146198830409357
14	0.0162748643761302
15	0.0189359783588819
16	0.0226449275362319
17	0.0137488542621448
18	0.0133928571428571
19	0.0262443438914027
20	0.0165137614678899
21	0.0229007633587786
22	0.0197663971248877
23	0.0155109489051095
24	0.0181297709923664
25	0.0115044247787611
