pos	5pG>A
1	0.0671316477768091
2	0.0480192076830732
3	0.0425381070542361
4	0.0387372013651877
5	0.0295458382576397
6	0.0277919863597613
7	0.0248983739837398
8	0.0234669407331278
9	0.0252387448840382
10	0.021378484693005
11	0.0214760524970172
12	0.0222450376454483
13	0.0214780991036699
14	0.0181818181818182
15	0.0210328317373461
16	0.0160483175150992
17	0.0173313141511021
18	0.0188711036225779
19	0.0163237544635266
20	0.019452573592701
21	0.0181134654818865
22	0.0185405681238306
23	0.0156089193825043
24	0.0178902953586498
25	0.0168662506324844
