pos	5pC>T
1	0.173170731707317
2	0.105113636363636
3	0.101538461538462
4	0.0765027322404372
5	0.063953488372093
6	0.0543130990415335
7	0.0416666666666667
8	0.0286532951289398
9	0.0282485875706215
10	0.0358126721763085
11	0.0331491712707182
12	0.015527950310559
13	0.025
14	0.0384615384615385
15	0.038781163434903
16	0.0309859154929577
17	0.0200573065902579
18	0.0222841225626741
19	0.037037037037037
20	0.0296495956873315
21	0.0263852242744063
22	0.0138888888888889
23	0.0176767676767677
24	0.0269461077844311
25	0.0215384615384615
